epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1541,1.15914,5.67577,1.00007,0,0,0,0,1.053,7.16062,0.96655,0.000333333,0.000333333,0.000333333
2,37.5788,1.16437,4.7028,0.9445,0,0,0,0,0.94991,6.54795,0.90778,0.0006015,0.0006015,0.0006015
3,56.5509,1.17981,5.25204,0.97828,0.00019,0.11111,8e-05,5e-05,1.02629,6.52809,0.90061,0.000704667,0.000704667,0.000704667
4,75.3054,1.3856,5.23119,1.13764,0,0,0,0,0.98517,6.46981,0.88178,0.0005075,0.0005075,0.0005075
5,93.6946,1.35694,4.53532,0.99003,0,0,0,0,0.95131,6.64975,0.87639,0.00026,0.00026,0.00026
